sample,tic_pos,tic_neg,pqn_factor_pos,pqn_factor_neg
P1_2000μC-P,2200350.247863603,2298143.520867407,0.8010649876089755,0.6842947321461234
P1_500μC-P,417188.66094462405,1394255.2169499157,1.1911324056999106,0.018751279493870527
P1_5000μC-P,2529813.8980274503,2710374.366694364,1.0,1.0
P1_10000μC-P,3288924.661950376,3284704.4548759446,0.9978221713704152,1.2644447759047872
P1_15000μC-P,3722105.0100060073,3488265.343605704,1.0,1.4228929607858578
P2_2000μC-P,2002994.9237397304,2683281.1025071954,0.9404964714027859,0.8895992125437338
P2_500μC-P,348532.2483925554,1277526.7287095077,1.2433045718824949,0.01721032721402669
P2_5000μC-P,2240492.5404943093,2883955.250387408,1.0,1.0
P2_10000μC-P,3364189.238301955,3393017.715642005,1.0,1.297055891713391
P2_15000μC-P,4157229.323494286,3920060.96901011,1.1790369194755792,1.6881531620508623
P3_2000μC-P,1938130.3967362733,2557240.950812019,0.9419034978194819,0.8439694804308758
P3_500μC-P,370538.7250646927,1366260.2989707615,1.2417749648034933,0.017115819128630617
P3_5000μC-P,2037436.5637511609,2765031.212457567,0.9615620727800145,0.9844626635446364
P3_10000μC-P,3083749.8169761323,3248563.0091375876,0.9874929189897297,1.2052141523920052
P3_15000μC-P,3335620.79273878,3348749.502506547,0.965654854076178,1.3504940726663568
