	NMF1	NMF2	NMF3	NMF4	NMF5	NMF6	NMF7	dose	pattern
P1_SQ1_r500	1.0716618234378055	0.0	0.0	0.04560798433061553	0.031418869714407556	0.0	0.0	500.0	P1
P1_SQ2_2000	1.0809558213530817	0.25060977433137255	0.010073594951899153	0.007572611633435709	0.008940816387244095	0.0	0.0	2000.0	P1
P1_SQ3_5000	1.0799282224525235	0.0	0.0	0.0	0.0	0.0	0.020831549834045046	5000.0	P1
P1_SQ4_10000	1.0806087589896975	0.0	0.03915279975232967	0.0	0.01914809491009395	0.008766428441497194	0.0	10000.0	P1
P1_SQ5_15000	1.0823701184589276	0.0	0.05342770712610701	0.0	0.019671236470014158	0.0038548223366231685	0.0	15000.0	P1
P2_SQ1_r500	1.076564684280252	0.0	0.0	0.01662504631211571	0.0	0.0	0.0	500.0	P2
P2_SQ2_2000	1.0793331319196688	0.25736851079687456	0.0	0.012272696819438579	0.0	0.03688359197929594	0.0	2000.0	P2
P2_SQ3_5000	1.0794135843722785	0.0	0.0	0.0	0.0	0.0074920545676398715	0.02461036552253808	5000.0	P2
P2_SQ4_10000	1.081449526573392	0.0	0.039683806041443836	0.0	0.012104409347735113	0.01247980937440705	0.017859695687554335	10000.0	P2
P2_SQ5_15000	1.0877048997437375	0.0	0.06973927954120498	0.03702907958087955	0.0	0.015872614234419668	0.007955981248766564	15000.0	P2
P3_SQ1_r500	1.0758191412333622	0.0	0.0	0.01859719335306644	0.0	0.0	0.0	500.0	P3
P3_SQ2_2000	1.0808703686052075	0.25591999854120195	0.0	0.00025778009787898203	0.0	0.0	0.020208501746331445	2000.0	P3
P3_SQ3_5000	1.0780222219484557	0.0	0.0	0.0	0.006195737466988353	0.0	0.02218247222280691	5000.0	P3
P3_SQ4_10000	1.0802492433322628	0.0	0.033340161155284743	0.0	0.023545821043054242	0.00641698845049822	0.012013904137354476	10000.0	P3
P3_SQ5_15000	1.0813084220641447	0.0	0.05369817560350289	0.0	0.028283130108163936	0.008512531668919606	0.0	15000.0	P3
