Sample,AI_sim,OI,AOI_pos,Metal_Oxide,HC_Degrad,Chain_Scission,Pattern,Dose
P1_2000μC-P,0.4384967394671344,0.4127960042966755,0.7073197572069827,0.6611813453308805,0.1674243324669312,0.5509070486667257,P1,2000
P1_500μC-P,1.4339784599339085,1.3574928674498183,0.33279374540504,0.3165552048467415,0.0696217552367019,0.2594855881794929,P1,500
P1_5000μC-P,0.473834100033731,0.40163026611034186,0.6778181561009593,0.6323487911596637,0.16909371394647382,0.5416484708076865,P1,5000
P1_10000μC-P,0.5336658929784167,0.39518034921565864,0.6470760262771654,0.603155577647446,0.16113781919392997,0.5176775655333478,P1,10000
P1_15000μC-P,0.5752704054895479,0.3945795255713214,0.6204824237955837,0.5775274639750818,0.1559818045851335,0.4993957164281364,P1,15000
P2_2000μC-P,0.43861865578021386,0.4073798078848217,0.7088530191706368,0.6602275006164442,0.174891143939902,0.5608821826516724,P2,2000
P2_500μC-P,1.502623347676422,1.572765904427858,0.3360690533324173,0.3213993085954095,0.06461326853895276,0.2507693953506878,P2,500
P2_5000μC-P,0.47970301706323387,0.4152412920366818,0.6871718616794252,0.6401384962664831,0.16663206096752198,0.5352307778448371,P2,5000
P2_10000μC-P,0.5449475538214709,0.4050126397806497,0.6433983501603964,0.5977911404816184,0.1588191043714537,0.5107741210351977,P2,10000
P2_15000μC-P,0.579509669180412,0.40515153074221527,0.5840723020754438,0.5355195750933207,0.14497283319356943,0.46914730293027607,P2,15000
P3_2000μC-P,0.4317220154954107,0.40795597477639717,0.7138196391233824,0.6638852100731595,0.1755637752328718,0.5631908363565867,P3,2000
P3_500μC-P,1.5178048507337352,1.4211294835935182,0.3250807315188293,0.3104787913383944,0.06608603932900874,0.24466245820641447,P3,500
P3_5000μC-P,0.47204459202731697,0.4079307463167003,0.6928984057838931,0.6452717991994967,0.16838575512943657,0.5396927346102238,P3,5000
P3_10000μC-P,0.5377243613999152,0.40132771716130344,0.6501377620880575,0.6047489274984276,0.1602604088950518,0.5139577420089066,P3,10000
P3_15000μC-P,0.5909201434702493,0.4010941712070406,0.625388639439667,0.5823564888838517,0.15288169256819126,0.48892108626329944,P3,15000
